date,stock
2015-05-03,16
2015-05-10,16
2015-05-17,15
2015-05-24,13
2015-05-31,14
2015-06-07,15
2015-06-14,15
2015-06-21,15
2015-06-28,16
2015-07-05,19
2015-07-12,17
2015-07-19,19
2015-07-26,18
2015-08-02,17
2015-08-09,17
2015-08-16,19
2015-08-23,32
2015-08-30,19
2015-09-06,17
2015-09-13,17
2015-09-20,18
2015-09-27,17
2015-10-04,17
2015-10-11,17
2015-10-18,18
2015-10-25,18
2015-11-01,19
2015-11-08,16
2015-11-15,17
2015-11-22,14
2015-11-29,16
2015-12-06,16
2015-12-13,17
2015-12-20,15
2015-12-27,15
2016-01-03,23
2016-01-10,23
2016-01-17,23
2016-01-24,22
2016-01-31,22
2016-02-07,22
2016-02-14,20
2016-02-21,20
2016-02-28,21
2016-03-06,20
2016-03-13,20
2016-03-20,19
2016-03-27,20
2016-04-03,20
2016-04-10,20
2016-04-17,21
2016-04-24,22
2016-05-01,20
2016-05-08,20
2016-05-15,19
2016-05-22,19
2016-05-29,16
2016-06-05,18
2016-06-12,19
2016-06-19,23
2016-06-26,23
2016-07-03,16
2016-07-10,22
2016-07-17,21
2016-07-24,21
2016-07-31,20
2016-08-07,19
2016-08-14,18
2016-08-21,18
2016-08-28,17
2016-09-04,17
2016-09-11,18
2016-09-18,18
2016-09-25,18
2016-10-02,18
2016-10-09,18
2016-10-16,18
2016-10-23,19
2016-10-30,19
2016-11-06,31
2016-11-13,23
2016-11-20,19
2016-11-27,21
2016-12-04,23
2016-12-11,22
2016-12-18,20
2016-12-25,17
2017-01-01,20
2017-01-08,22
2017-01-15,21
2017-01-22,24
2017-01-29,25
2017-02-05,23
2017-02-12,25
2017-02-19,23
2017-02-26,29
2017-03-05,26
2017-03-12,23
2017-03-19,23
2017-03-26,23
2017-04-02,23
2017-04-09,28
2017-04-16,22
2017-04-23,26
2017-04-30,24
2017-05-07,24
2017-05-14,24
2017-05-21,23
2017-05-28,21
2017-06-04,23
2017-06-11,25
2017-06-18,25
2017-06-25,24
2017-07-02,21
2017-07-09,23
2017-07-16,23
2017-07-23,26
2017-07-30,26
2017-08-06,26
2017-08-13,23
2017-08-20,20
2017-08-27,21
2017-09-03,19
2017-09-10,23
2017-09-17,23
2017-09-24,23
2017-10-01,30
2017-10-08,25
2017-10-15,25
2017-10-22,26
2017-10-29,26
2017-11-05,27
2017-11-12,26
2017-11-19,23
2017-11-26,28
2017-12-03,27
2017-12-10,28
2017-12-17,29
2017-12-24,24
2017-12-31,28
2018-01-07,31
2018-01-14,29
2018-01-21,32
2018-01-28,36
2018-02-04,46
2018-02-11,32
2018-02-18,29
2018-02-25,31
2018-03-04,30
2018-03-11,28
2018-03-18,33
2018-03-25,31
2018-04-01,31
2018-04-08,28
2018-04-15,28
2018-04-22,28
2018-04-29,28
2018-05-06,28
2018-05-13,26
2018-05-20,25
2018-05-27,23
2018-06-03,27
2018-06-10,29
2018-06-17,29
2018-06-24,28
2018-07-01,22
2018-07-08,26
2018-07-15,28
2018-07-22,35
2018-07-29,32
2018-08-05,30
2018-08-12,30
2018-08-19,30
2018-08-26,31
2018-09-02,38
2018-09-09,33
2018-09-16,33
2018-09-23,31
2018-09-30,33
2018-10-07,36
2018-10-14,30
2018-10-21,34
2018-10-28,35
2018-11-04,31
2018-11-11,30
2018-11-18,26
2018-11-25,29
2018-12-02,31
2018-12-09,29
2018-12-16,34
2018-12-23,33
2018-12-30,29
2019-01-06,33
2019-01-13,32
2019-01-20,27
2019-01-27,32
2019-02-03,31
2019-02-10,30
2019-02-17,29
2019-02-24,31
2019-03-03,29
2019-03-10,34
2019-03-17,33
2019-03-24,30
2019-03-31,32
2019-04-07,31
2019-04-14,30
2019-04-21,33
2019-04-28,32
2019-05-05,33
2019-05-12,35
2019-05-19,29
2019-05-26,26
2019-06-02,30
2019-06-09,30
2019-06-16,30
2019-06-23,28
2019-06-30,26
2019-07-07,29
2019-07-14,28
2019-07-21,30
2019-07-28,31
2019-08-04,35
2019-08-11,35
2019-08-18,31
2019-08-25,28
2019-09-01,24
2019-09-08,29
2019-09-15,28
2019-09-22,27
2019-09-29,28
2019-10-06,26
2019-10-13,26
2019-10-20,30
2019-10-27,31
2019-11-03,32
2019-11-10,29
2019-11-17,29
2019-11-24,25
2019-12-01,28
2019-12-08,28
2019-12-15,29
2019-12-22,26
2019-12-29,29
2020-01-05,32
2020-01-12,35
2020-01-19,32
2020-01-26,37
2020-02-02,41
2020-02-09,38
2020-02-16,35
2020-02-23,59
2020-03-01,54
2020-03-08,92
2020-03-15,100
2020-03-22,86
2020-03-29,68
2020-04-05,62
2020-04-12,63
2020-04-19,67
