date,debt,flu,unemployment,subsidy,stock,oil,interest rate,recession,economic,virus,restaurant:,luxury:,revenue:,financial crisis,color,,,,,
2015-05-09,40,4,5,60,16,49,16,7,56,2,68,51,62,22,78,,,,,
2015-05-16,38,4,5,54,16,48,16,6,52,2,67,50,56,20,82,,,,,
2015-05-23,37,5,5,43,15,52,14,6,45,2,66,52,51,31,80,,,,,
2015-05-30,34,4,5,48,13,50,14,5,40,3,67,53,48,21,80,,,,,
2015-06-06,39,4,5,58,14,49,15,5,37,2,65,56,57,29,81,,,,,
2015-06-13,37,4,5,42,15,49,15,5,33,3,68,56,59,27,78,,,,,
2015-06-20,39,3,5,50,15,48,16,4,30,2,68,57,62,22,76,,,,,
2015-06-27,39,3,5,71,15,48,15,4,28,2,71,56,48,28,78,,,,,
2015-07-04,56,3,5,55,16,50,14,4,28,2,69,57,46,96,79,,,,,
2015-07-11,53,3,5,43,19,52,15,4,31,2,69,66,54,100,79,,,,,
2015-07-18,47,2,5,43,17,52,15,4,30,2,75,58,57,39,80,,,,,
2015-07-25,40,3,5,38,19,52,16,4,28,2,79,68,54,30,79,,,,,
2015-08-01,40,3,5,45,18,53,15,4,28,2,76,62,52,17,79,,,,,
2015-08-08,40,3,5,46,17,51,15,4,28,2,76,62,45,22,79,,,,,
2015-08-15,41,3,5,44,17,53,14,4,28,2,74,55,50,25,79,,,,,
2015-08-22,38,3,5,48,19,53,15,6,33,2,71,54,52,23,80,,,,,
2015-08-29,41,3,5,44,32,54,16,6,45,2,66,51,48,33,80,,,,,
2015-09-05,39,4,5,58,19,53,16,6,50,2,66,46,53,20,82,,,,,
2015-09-12,38,5,4,57,17,49,15,6,50,2,66,51,52,23,82,,,,,
2015-09-19,42,7,5,54,17,48,27,7,57,3,62,52,66,15,86,,,,,
2015-09-26,42,9,5,55,18,48,16,6,55,2,63,50,59,22,83,,,,,
2015-10-03,42,10,5,67,17,49,15,6,55,2,59,46,55,20,82,,,,,
2015-10-10,42,13,5,70,17,51,14,6,58,2,59,44,61,25,84,,,,,
2015-10-17,43,13,5,65,17,48,15,6,50,2,62,44,61,30,85,,,,,
2015-10-24,43,12,5,72,18,48,14,6,56,2,62,44,55,34,84,,,,,
2015-10-31,47,12,5,73,18,47,15,7,51,2,59,40,58,30,82,,,,,
2015-11-07,46,10,5,84,19,47,16,6,56,2,63,47,47,30,81,,,,,
2015-11-14,43,9,5,74,16,48,17,6,55,2,63,45,43,28,85,,,,,
2015-11-21,42,9,5,74,17,49,15,7,52,2,59,44,47,26,86,,,,,
2015-11-28,31,7,4,43,14,48,12,4,33,2,59,38,31,14,79,,,,,
2015-12-05,40,8,5,66,16,47,17,8,54,2,55,40,51,32,83,,,,,
2015-12-12,41,7,5,76,16,50,17,8,56,2,60,39,49,42,84,,,,,
2015-12-19,40,7,5,82,17,50,34,7,48,2,61,39,46,20,80,,,,,
2015-12-26,27,8,5,35,15,49,11,3,19,2,69,46,31,16,75,,,,,
2016-01-02,32,8,5,48,15,52,11,3,17,2,83,55,33,21,80,,,,,
2016-01-09,42,8,6,64,23,58,14,6,41,2,73,70,51,21,80,,,,,
2016-01-16,45,7,6,60,23,60,15,7,49,2,73,73,57,33,81,,,,,
2016-01-23,43,7,6,55,23,65,14,8,51,4,78,66,60,32,83,,,,,
2016-01-30,46,7,6,67,22,59,18,8,56,8,78,65,76,34,83,,,,,
2016-02-06,53,7,6,62,22,57,23,8,57,10,77,60,94,31,86,,,,,
2016-02-13,52,8,5,64,22,57,21,10,58,6,82,61,92,30,85,,,,,
2016-02-20,100,10,5,59,20,59,17,7,51,4,84,69,87,31,86,,,,,
2016-02-27,62,11,5,68,20,58,17,8,57,4,77,64,87,34,89,,,,,
2016-03-05,50,11,5,59,21,55,16,8,59,4,77,63,79,37,87,,,,,
2016-03-12,51,12,5,59,20,58,16,8,53,4,76,66,75,30,87,,,,,
2016-03-19,46,10,5,54,20,55,17,6,45,3,75,67,70,25,87,,,,,
2016-03-26,45,9,5,50,19,55,16,6,46,3,81,65,64,33,90,,,,,
2016-04-02,45,8,5,54,20,55,16,6,48,3,78,65,65,32,87,,,,,
2016-04-09,48,7,5,61,20,56,17,9,55,3,79,68,72,36,87,,,,,
2016-04-16,49,6,5,59,20,57,19,7,54,4,77,71,100,47,89,,,,,
2016-04-23,48,7,5,51,21,58,16,8,57,3,74,65,80,48,87,,,,,
2016-04-30,48,5,4,50,22,55,17,8,54,3,76,63,57,33,85,,,,,
2016-05-07,50,5,4,51,20,54,17,8,56,3,82,64,52,38,87,,,,,
2016-05-14,49,5,4,58,20,54,16,7,50,3,87,71,53,29,85,,,,,
2016-05-21,44,5,4,40,19,56,16,6,47,3,79,74,49,24,88,,,,,
2016-05-28,40,7,4,44,19,56,14,5,38,3,78,60,46,30,84,,,,,
2016-06-04,37,5,4,38,16,54,14,5,30,4,82,61,43,19,79,,,,,
2016-06-11,50,3,4,42,18,54,14,5,31,3,80,67,47,16,82,,,,,
2016-06-18,39,3,4,31,19,52,15,4,27,3,83,68,47,21,79,,,,,
2016-06-25,41,3,4,36,23,53,15,6,29,3,83,71,48,24,78,,,,,
2016-07-02,40,3,4,32,23,53,15,5,26,3,82,68,41,27,79,,,,,
2016-07-09,36,3,4,34,16,52,14,4,21,3,87,72,39,19,76,,,,,
2016-07-16,40,3,4,42,22,52,16,3,26,2,84,74,47,20,80,,,,,
2016-07-23,43,2,5,40,21,51,14,4,22,3,88,73,43,20,80,,,,,
2016-07-30,46,3,5,35,21,52,14,5,25,3,86,72,37,16,76,,,,,
2016-08-06,41,3,4,40,20,53,14,4,26,5,85,75,38,20,76,,,,,
2016-08-13,38,3,4,43,19,49,13,4,33,3,78,74,38,20,75,,,,,
2016-08-20,37,3,4,40,18,50,12,3,28,3,81,63,40,16,74,,,,,
2016-08-27,40,4,4,48,18,52,14,4,34,3,79,66,40,13,79,,,,,
2016-09-03,39,5,4,40,17,53,14,5,44,3,75,62,45,12,81,,,,,
2016-09-10,39,5,4,50,17,52,15,5,44,3,75,63,44,17,81,,,,,
2016-09-17,43,7,4,49,18,51,15,6,51,3,73,64,58,19,97,,,,,
2016-09-24,43,8,4,56,18,50,16,6,48,2,71,59,55,19,88,,,,,
2016-10-01,50,11,4,58,18,52,15,7,52,2,72,60,48,27,89,,,,,
2016-10-08,46,12,4,61,18,51,15,7,48,2,71,62,44,18,88,,,,,
2016-10-15,48,12,4,66,18,53,15,7,46,2,75,77,50,21,90,,,,,
2016-10-22,54,11,4,59,18,50,15,7,48,2,73,74,47,24,88,,,,,
2016-10-29,46,11,4,84,19,51,14,7,53,2,71,75,42,32,88,,,,,
2016-11-05,47,10,4,83,19,51,15,7,46,2,68,73,39,17,82,,,,,
2016-11-12,55,8,4,61,31,48,16,11,50,2,67,68,37,32,82,,,,,
2016-11-19,49,8,4,68,23,54,21,7,54,2,69,75,40,24,88,,,,,
2016-11-26,36,7,4,40,19,54,15,6,30,2,71,69,25,19,81,,,,,
2016-12-03,48,8,5,64,21,54,18,8,52,2,66,67,39,36,89,,,,,
2016-12-10,48,8,5,75,23,53,18,8,56,2,68,68,41,38,89,,,,,
2016-12-17,43,8,5,69,22,56,27,7,51,2,69,70,41,25,88,,,,,
2016-12-24,33,10,5,38,20,53,15,4,26,2,78,67,31,14,83,,,,,
2016-12-31,33,11,5,28,17,55,12,3,16,2,86,80,26,9,81,,,,,
2017-01-07,41,13,6,48,20,55,15,4,31,3,76,86,39,15,81,,,,,
2017-01-14,46,13,6,56,22,57,15,5,42,2,74,79,48,19,85,,,,,
2017-01-21,55,13,6,60,21,56,15,6,49,2,79,82,53,23,85,,,,,
2017-01-28,55,12,6,62,24,56,17,6,56,2,80,83,64,20,85,,,,,
2017-02-04,50,14,6,62,25,55,18,6,58,2,81,77,71,23,86,,,,,
2017-02-11,47,17,5,90,23,54,16,6,56,2,74,75,72,20,86,,,,,
2017-02-18,47,17,5,59,25,55,16,6,55,3,84,86,86,19,85,,,,,
2017-02-25,53,15,5,60,23,58,17,6,51,2,80,83,78,18,89,,,,,
2017-03-04,57,12,5,70,29,55,19,6,55,2,74,76,69,26,90,,,,,
2017-03-11,49,11,4,75,26,58,20,6,52,2,77,77,71,24,89,,,,,
2017-03-18,47,9,4,65,23,57,25,6,42,2,76,78,68,19,88,,,,,
2017-03-25,46,9,4,62,23,57,18,6,47,2,79,83,68,26,92,,,,,
2017-04-01,47,9,4,56,23,57,18,6,50,2,80,80,67,27,90,,,,,
2017-04-08,46,8,4,51,23,57,19,6,51,2,78,83,68,27,89,,,,,
2017-04-15,45,6,4,55,28,59,18,6,46,2,78,72,81,28,91,,,,,
2017-04-22,47,6,4,53,22,55,17,7,48,2,78,76,90,28,89,,,,,
2017-04-29,48,5,4,59,26,56,18,8,56,2,75,77,62,40,90,,,,,
2017-05-06,47,5,4,58,24,56,18,8,53,2,80,79,56,30,91,,,,,
2017-05-13,44,4,4,52,24,57,16,7,47,2,86,84,51,21,88,,,,,
2017-05-20,42,4,4,43,24,54,15,5,40,3,84,74,48,17,84,,,,,
2017-05-27,40,4,4,45,23,56,14,5,34,2,80,73,41,19,82,,,,,
2017-06-03,40,4,4,41,21,58,13,5,31,2,82,82,40,18,82,,,,,
