date,debt
2015-05-03,40
2015-05-10,38
2015-05-17,37
2015-05-24,34
2015-05-31,39
2015-06-07,37
2015-06-14,39
2015-06-21,39
2015-06-28,56
2015-07-05,53
2015-07-12,47
2015-07-19,40
2015-07-26,40
2015-08-02,40
2015-08-09,41
2015-08-16,38
2015-08-23,41
2015-08-30,39
2015-09-06,38
2015-09-13,42
2015-09-20,42
2015-09-27,42
2015-10-04,42
2015-10-11,43
2015-10-18,43
2015-10-25,47
2015-11-01,46
2015-11-08,43
2015-11-15,42
2015-11-22,31
2015-11-29,40
2015-12-06,41
2015-12-13,40
2015-12-20,27
2015-12-27,32
2016-01-03,42
2016-01-10,45
2016-01-17,43
2016-01-24,46
2016-01-31,53
2016-02-07,52
2016-02-14,100
2016-02-21,62
2016-02-28,50
2016-03-06,51
2016-03-13,46
2016-03-20,45
2016-03-27,45
2016-04-03,48
2016-04-10,49
2016-04-17,48
2016-04-24,48
2016-05-01,50
2016-05-08,49
2016-05-15,44
2016-05-22,40
2016-05-29,37
2016-06-05,50
2016-06-12,39
2016-06-19,41
2016-06-26,40
2016-07-03,36
2016-07-10,40
2016-07-17,43
2016-07-24,46
2016-07-31,41
2016-08-07,38
2016-08-14,37
2016-08-21,40
2016-08-28,39
2016-09-04,39
2016-09-11,43
2016-09-18,43
2016-09-25,50
2016-10-02,46
2016-10-09,48
2016-10-16,54
2016-10-23,46
2016-10-30,47
2016-11-06,55
2016-11-13,49
2016-11-20,36
2016-11-27,48
2016-12-04,48
2016-12-11,43
2016-12-18,33
2016-12-25,33
2017-01-01,41
2017-01-08,46
2017-01-15,55
2017-01-22,55
2017-01-29,50
2017-02-05,47
2017-02-12,47
2017-02-19,53
2017-02-26,57
2017-03-05,49
2017-03-12,47
2017-03-19,46
2017-03-26,47
2017-04-02,46
2017-04-09,45
2017-04-16,47
2017-04-23,48
2017-04-30,47
2017-05-07,44
2017-05-14,42
2017-05-21,40
2017-05-28,40
2017-06-04,39
2017-06-11,38
2017-06-18,39
2017-06-25,39
2017-07-02,38
2017-07-09,42
2017-07-16,42
2017-07-23,41
2017-07-30,46
2017-08-06,42
2017-08-13,40
2017-08-20,42
2017-08-27,41
2017-09-03,44
2017-09-10,45
2017-09-17,46
2017-09-24,48
2017-10-01,47
2017-10-08,47
2017-10-15,46
2017-10-22,46
2017-10-29,44
2017-11-05,44
2017-11-12,45
2017-11-19,34
2017-11-26,48
2017-12-03,48
2017-12-10,43
2017-12-17,38
2017-12-24,33
2017-12-31,39
2018-01-07,43
2018-01-14,42
2018-01-21,46
2018-01-28,50
2018-02-04,52
2018-02-11,49
2018-02-18,47
2018-02-25,48
2018-03-04,47
2018-03-11,44
2018-03-18,48
2018-03-25,45
2018-04-01,46
2018-04-08,49
2018-04-15,48
2018-04-22,47
2018-04-29,46
2018-05-06,43
2018-05-13,40
2018-05-20,41
2018-05-27,40
2018-06-03,42
2018-06-10,40
2018-06-17,40
2018-06-24,43
2018-07-01,38
2018-07-08,40
2018-07-15,42
2018-07-22,45
2018-07-29,45
2018-08-05,43
2018-08-12,40
2018-08-19,41
2018-08-26,39
2018-09-02,41
2018-09-09,47
2018-09-16,47
2018-09-23,48
2018-09-30,45
2018-10-07,46
2018-10-14,49
2018-10-21,48
2018-10-28,47
2018-11-04,46
2018-11-11,45
2018-11-18,35
2018-11-25,47
2018-12-02,50
2018-12-09,48
2018-12-16,41
2018-12-23,36
2018-12-30,45
2019-01-06,50
2019-01-13,50
2019-01-20,48
2019-01-27,49
2019-02-03,49
2019-02-10,56
2019-02-17,53
2019-02-24,50
2019-03-03,52
2019-03-10,49
2019-03-17,46
2019-03-24,47
2019-03-31,46
2019-04-07,48
2019-04-14,46
2019-04-21,52
2019-04-28,48
2019-05-05,46
2019-05-12,44
2019-05-19,45
2019-05-26,38
2019-06-02,42
2019-06-09,43
2019-06-16,43
2019-06-23,49
2019-06-30,39
2019-07-07,45
2019-07-14,47
2019-07-21,48
2019-07-28,47
2019-08-04,47
2019-08-11,47
2019-08-18,51
2019-08-25,44
2019-09-01,41
2019-09-08,46
2019-09-15,47
2019-09-22,46
2019-09-29,48
2019-10-06,45
2019-10-13,46
2019-10-20,47
2019-10-27,46
2019-11-03,49
2019-11-10,47
2019-11-17,48
2019-11-24,35
2019-12-01,47
2019-12-08,46
2019-12-15,41
2019-12-22,34
2019-12-29,42
2020-01-05,49
2020-01-12,51
2020-01-19,51
2020-01-26,54
2020-02-02,53
2020-02-09,56
2020-02-16,54
2020-02-23,57
2020-03-01,54
2020-03-08,49
2020-03-15,49
2020-03-22,56
2020-03-29,49
2020-04-05,48
2020-04-12,57
2020-04-19,52
