date,flu
2015-05-03,4
2015-05-10,4
2015-05-17,5
2015-05-24,4
2015-05-31,4
2015-06-07,4
2015-06-14,3
2015-06-21,3
2015-06-28,3
2015-07-05,3
2015-07-12,2
2015-07-19,3
2015-07-26,3
2015-08-02,3
2015-08-09,3
2015-08-16,3
2015-08-23,3
2015-08-30,4
2015-09-06,5
2015-09-13,7
2015-09-20,9
2015-09-27,10
2015-10-04,13
2015-10-11,13
2015-10-18,12
2015-10-25,12
2015-11-01,10
2015-11-08,9
2015-11-15,9
2015-11-22,7
2015-11-29,8
2015-12-06,7
2015-12-13,7
2015-12-20,8
2015-12-27,8
2016-01-03,8
2016-01-10,7
2016-01-17,7
2016-01-24,7
2016-01-31,7
2016-02-07,8
2016-02-14,10
2016-02-21,11
2016-02-28,11
2016-03-06,12
2016-03-13,10
2016-03-20,9
2016-03-27,8
2016-04-03,7
2016-04-10,6
2016-04-17,7
2016-04-24,5
2016-05-01,5
2016-05-08,5
2016-05-15,5
2016-05-22,7
2016-05-29,5
2016-06-05,3
2016-06-12,3
2016-06-19,3
2016-06-26,3
2016-07-03,3
2016-07-10,3
2016-07-17,2
2016-07-24,3
2016-07-31,3
2016-08-07,3
2016-08-14,3
2016-08-21,4
2016-08-28,5
2016-09-04,5
2016-09-11,7
2016-09-18,8
2016-09-25,11
2016-10-02,12
2016-10-09,12
2016-10-16,11
2016-10-23,11
2016-10-30,10
2016-11-06,8
2016-11-13,8
2016-11-20,7
2016-11-27,8
2016-12-04,8
2016-12-11,8
2016-12-18,10
2016-12-25,11
2017-01-01,13
2017-01-08,13
2017-01-15,13
2017-01-22,12
2017-01-29,14
2017-02-05,17
2017-02-12,17
2017-02-19,15
2017-02-26,12
2017-03-05,11
2017-03-12,9
2017-03-19,9
2017-03-26,9
2017-04-02,8
2017-04-09,6
2017-04-16,6
2017-04-23,5
2017-04-30,5
2017-05-07,4
2017-05-14,4
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,3
2017-06-18,3
2017-06-25,3
2017-07-02,3
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,4
2017-08-20,4
2017-08-27,5
2017-09-03,6
2017-09-10,8
2017-09-17,9
2017-09-24,12
2017-10-01,13
2017-10-08,12
2017-10-15,12
2017-10-22,13
2017-10-29,11
2017-11-05,11
2017-11-12,11
2017-11-19,9
2017-11-26,11
2017-12-03,13
2017-12-10,15
2017-12-17,20
2017-12-24,26
2017-12-31,30
2018-01-07,44
2018-01-14,57
2018-01-21,66
2018-01-28,71
2018-02-04,59
2018-02-11,50
2018-02-18,31
2018-02-25,20
2018-03-04,15
2018-03-11,12
2018-03-18,10
2018-03-25,11
2018-04-01,9
2018-04-08,7
2018-04-15,7
2018-04-22,6
2018-04-29,5
2018-05-06,5
2018-05-13,4
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,4
2018-08-19,4
2018-08-26,6
2018-09-02,7
2018-09-09,9
2018-09-16,11
2018-09-23,14
2018-09-30,18
2018-10-07,18
2018-10-14,20
2018-10-21,18
2018-10-28,16
2018-11-04,13
2018-11-11,12
2018-11-18,11
2018-11-25,12
2018-12-02,11
2018-12-09,12
2018-12-16,14
2018-12-23,18
2018-12-30,19
2019-01-06,18
2019-01-13,16
2019-01-20,16
2019-01-27,18
2019-02-03,22
2019-02-10,21
2019-02-17,21
2019-02-24,19
2019-03-03,17
2019-03-10,16
2019-03-17,14
2019-03-24,12
2019-03-31,10
2019-04-07,8
2019-04-14,7
2019-04-21,6
2019-04-28,6
2019-05-05,5
2019-05-12,5
2019-05-19,5
2019-05-26,4
2019-06-02,4
2019-06-09,3
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,5
2019-08-25,5
2019-09-01,6
2019-09-08,8
2019-09-15,11
2019-09-22,14
2019-09-29,17
2019-10-06,20
2019-10-13,19
2019-10-20,18
2019-10-27,15
2019-11-03,16
2019-11-10,15
2019-11-17,15
2019-11-24,13
2019-12-01,15
2019-12-08,17
2019-12-15,21
2019-12-22,27
2019-12-29,28
2020-01-05,26
2020-01-12,26
2020-01-19,32
2020-01-26,44
2020-02-02,38
2020-02-09,34
2020-02-16,29
2020-02-23,49
2020-03-01,58
2020-03-08,100
2020-03-15,89
2020-03-22,65
2020-03-29,54
2020-04-05,38
2020-04-12,30
2020-04-19,29
