date,oil
2015-05-03,49
2015-05-10,48
2015-05-17,52
2015-05-24,50
2015-05-31,49
2015-06-07,49
2015-06-14,48
2015-06-21,48
2015-06-28,50
2015-07-05,52
2015-07-12,52
2015-07-19,52
2015-07-26,53
2015-08-02,51
2015-08-09,53
2015-08-16,53
2015-08-23,54
2015-08-30,53
2015-09-06,49
2015-09-13,48
2015-09-20,48
2015-09-27,49
2015-10-04,51
2015-10-11,48
2015-10-18,48
2015-10-25,47
2015-11-01,47
2015-11-08,48
2015-11-15,49
2015-11-22,48
2015-11-29,47
2015-12-06,50
2015-12-13,50
2015-12-20,49
2015-12-27,52
2016-01-03,58
2016-01-10,60
2016-01-17,65
2016-01-24,59
2016-01-31,57
2016-02-07,57
2016-02-14,59
2016-02-21,58
2016-02-28,55
2016-03-06,58
2016-03-13,55
2016-03-20,55
2016-03-27,55
2016-04-03,56
2016-04-10,57
2016-04-17,58
2016-04-24,55
2016-05-01,54
2016-05-08,54
2016-05-15,56
2016-05-22,56
2016-05-29,54
2016-06-05,54
2016-06-12,52
2016-06-19,53
2016-06-26,53
2016-07-03,52
2016-07-10,52
2016-07-17,51
2016-07-24,52
2016-07-31,53
2016-08-07,49
2016-08-14,50
2016-08-21,52
2016-08-28,53
2016-09-04,52
2016-09-11,51
2016-09-18,50
2016-09-25,52
2016-10-02,51
2016-10-09,53
2016-10-16,50
2016-10-23,51
2016-10-30,51
2016-11-06,48
2016-11-13,54
2016-11-20,54
2016-11-27,54
2016-12-04,53
2016-12-11,56
2016-12-18,53
2016-12-25,55
2017-01-01,55
2017-01-08,57
2017-01-15,56
2017-01-22,56
2017-01-29,55
2017-02-05,54
2017-02-12,55
2017-02-19,58
2017-02-26,55
2017-03-05,58
2017-03-12,57
2017-03-19,57
2017-03-26,57
2017-04-02,57
2017-04-09,59
2017-04-16,55
2017-04-23,56
2017-04-30,56
2017-05-07,57
2017-05-14,54
2017-05-21,56
2017-05-28,58
2017-06-04,58
2017-06-11,57
2017-06-18,59
2017-06-25,60
2017-07-02,58
2017-07-09,58
2017-07-16,59
2017-07-23,59
2017-07-30,59
2017-08-06,57
2017-08-13,56
2017-08-20,52
2017-08-27,55
2017-09-03,53
2017-09-10,53
2017-09-17,52
2017-09-24,53
2017-10-01,52
2017-10-08,52
2017-10-15,55
2017-10-22,53
2017-10-29,53
2017-11-05,56
2017-11-12,57
2017-11-19,57
2017-11-26,53
2017-12-03,55
2017-12-10,55
2017-12-17,58
2017-12-24,62
2017-12-31,64
2018-01-07,62
2018-01-14,60
2018-01-21,59
2018-01-28,60
2018-02-04,58
2018-02-11,59
2018-02-18,60
2018-02-25,61
2018-03-04,60
2018-03-11,58
2018-03-18,59
2018-03-25,62
2018-04-01,59
2018-04-08,61
2018-04-15,60
2018-04-22,62
2018-04-29,62
2018-05-06,63
2018-05-13,60
2018-05-20,64
2018-05-27,63
2018-06-03,60
2018-06-10,63
2018-06-17,61
2018-06-24,63
2018-07-01,63
2018-07-08,63
2018-07-15,64
2018-07-22,62
2018-07-29,63
2018-08-05,63
2018-08-12,62
2018-08-19,62
2018-08-26,60
2018-09-02,59
2018-09-09,56
2018-09-16,58
2018-09-23,59
2018-09-30,57
2018-10-07,59
2018-10-14,60
2018-10-21,58
2018-10-28,58
2018-11-04,58
2018-11-11,61
2018-11-18,63
2018-11-25,59
2018-12-02,61
2018-12-09,60
2018-12-16,64
2018-12-23,63
2018-12-30,65
2019-01-06,65
2019-01-13,63
2019-01-20,64
2019-01-27,64
2019-02-03,61
2019-02-10,60
2019-02-17,62
2019-02-24,61
2019-03-03,63
2019-03-10,63
2019-03-17,64
2019-03-24,64
2019-03-31,65
2019-04-07,63
2019-04-14,64
2019-04-21,64
2019-04-28,64
2019-05-05,62
2019-05-12,61
2019-05-19,64
2019-05-26,63
2019-06-02,61
2019-06-09,64
2019-06-16,64
2019-06-23,63
2019-06-30,61
2019-07-07,60
2019-07-14,62
2019-07-21,62
2019-07-28,61
2019-08-04,60
2019-08-11,62
2019-08-18,61
2019-08-25,58
2019-09-01,57
2019-09-08,57
2019-09-15,64
2019-09-22,58
2019-09-29,56
2019-10-06,57
2019-10-13,56
2019-10-20,56
2019-10-27,55
2019-11-03,58
2019-11-10,57
2019-11-17,57
2019-11-24,54
2019-12-01,52
2019-12-08,52
2019-12-15,53
2019-12-22,57
2019-12-29,58
2020-01-05,60
2020-01-12,57
2020-01-19,58
2020-01-26,54
2020-02-02,55
2020-02-09,57
2020-02-16,57
2020-02-23,59
2020-03-01,58
2020-03-08,74
2020-03-15,63
2020-03-22,60
2020-03-29,64
2020-04-05,66
2020-04-12,66
2020-04-19,100
