date,subsidy
2015-05-03,60
2015-05-10,54
2015-05-17,43
2015-05-24,48
2015-05-31,58
2015-06-07,42
2015-06-14,50
2015-06-21,71
2015-06-28,55
2015-07-05,43
2015-07-12,43
2015-07-19,38
2015-07-26,45
2015-08-02,46
2015-08-09,44
2015-08-16,48
2015-08-23,44
2015-08-30,58
2015-09-06,57
2015-09-13,54
2015-09-20,55
2015-09-27,67
2015-10-04,70
2015-10-11,65
2015-10-18,72
2015-10-25,73
2015-11-01,84
2015-11-08,74
2015-11-15,74
2015-11-22,43
2015-11-29,66
2015-12-06,76
2015-12-13,82
2015-12-20,35
2015-12-27,48
2016-01-03,64
2016-01-10,60
2016-01-17,55
2016-01-24,67
2016-01-31,62
2016-02-07,64
2016-02-14,59
2016-02-21,68
2016-02-28,59
2016-03-06,59
2016-03-13,54
2016-03-20,50
2016-03-27,54
2016-04-03,61
2016-04-10,59
2016-04-17,51
2016-04-24,50
2016-05-01,51
2016-05-08,58
2016-05-15,40
2016-05-22,44
2016-05-29,38
2016-06-05,42
2016-06-12,31
2016-06-19,36
2016-06-26,32
2016-07-03,34
2016-07-10,42
2016-07-17,40
2016-07-24,35
2016-07-31,40
2016-08-07,43
2016-08-14,40
2016-08-21,48
2016-08-28,40
2016-09-04,50
2016-09-11,49
2016-09-18,56
2016-09-25,58
2016-10-02,61
2016-10-09,66
2016-10-16,59
2016-10-23,84
2016-10-30,83
2016-11-06,61
2016-11-13,68
2016-11-20,40
2016-11-27,64
2016-12-04,75
2016-12-11,69
2016-12-18,38
2016-12-25,28
2017-01-01,48
2017-01-08,56
2017-01-15,60
2017-01-22,62
2017-01-29,62
2017-02-05,90
2017-02-12,59
2017-02-19,60
2017-02-26,70
2017-03-05,75
2017-03-12,65
2017-03-19,62
2017-03-26,56
2017-04-02,51
2017-04-09,55
2017-04-16,53
2017-04-23,59
2017-04-30,58
2017-05-07,52
2017-05-14,43
2017-05-21,45
2017-05-28,41
2017-06-04,44
2017-06-11,38
2017-06-18,38
2017-06-25,38
2017-07-02,32
2017-07-09,53
2017-07-16,42
2017-07-23,40
2017-07-30,47
2017-08-06,33
2017-08-13,34
2017-08-20,41
2017-08-27,38
2017-09-03,38
2017-09-10,48
2017-09-17,53
2017-09-24,65
2017-10-01,56
2017-10-08,100
2017-10-15,82
2017-10-22,69
2017-10-29,81
2017-11-05,65
2017-11-12,71
2017-11-19,44
2017-11-26,63
2017-12-03,73
2017-12-10,74
2017-12-17,39
2017-12-24,38
2017-12-31,43
2018-01-07,51
2018-01-14,54
2018-01-21,55
2018-01-28,55
2018-02-04,56
2018-02-11,56
2018-02-18,56
2018-02-25,55
2018-03-04,45
2018-03-11,49
2018-03-18,51
2018-03-25,50
2018-04-01,45
2018-04-08,45
2018-04-15,54
2018-04-22,47
2018-04-29,50
2018-05-06,43
2018-05-13,36
2018-05-20,45
2018-05-27,37
2018-06-03,39
2018-06-10,35
2018-06-17,36
2018-06-24,35
2018-07-01,37
2018-07-08,34
2018-07-15,33
2018-07-22,45
2018-07-29,39
2018-08-05,44
2018-08-12,41
2018-08-19,41
2018-08-26,44
2018-09-02,52
2018-09-09,56
2018-09-16,50
2018-09-23,63
2018-09-30,65
2018-10-07,65
2018-10-14,65
2018-10-21,62
2018-10-28,70
2018-11-04,72
2018-11-11,67
2018-11-18,42
2018-11-25,65
2018-12-02,65
2018-12-09,70
2018-12-16,57
2018-12-23,36
2018-12-30,44
2019-01-06,53
2019-01-13,55
2019-01-20,45
2019-01-27,53
2019-02-03,63
2019-02-10,58
2019-02-17,53
2019-02-24,60
2019-03-03,51
2019-03-10,49
2019-03-17,46
2019-03-24,56
2019-03-31,50
2019-04-07,52
2019-04-14,49
2019-04-21,49
2019-04-28,46
2019-05-05,47
2019-05-12,56
2019-05-19,43
2019-05-26,42
2019-06-02,40
2019-06-09,36
2019-06-16,46
2019-06-23,40
2019-06-30,36
2019-07-07,40
2019-07-14,37
2019-07-21,37
2019-07-28,43
2019-08-04,40
2019-08-11,41
2019-08-18,39
2019-08-25,40
2019-09-01,38
2019-09-08,60
2019-09-15,52
2019-09-22,62
2019-09-29,60
2019-10-06,64
2019-10-13,62
2019-10-20,62
2019-10-27,59
2019-11-03,67
2019-11-10,61
2019-11-17,58
2019-11-24,36
2019-12-01,64
2019-12-08,62
2019-12-15,53
2019-12-22,24
2019-12-29,38
2020-01-05,39
2020-01-12,55
2020-01-19,50
2020-01-26,51
2020-02-02,56
2020-02-09,51
2020-02-16,58
2020-02-23,59
2020-03-01,52
2020-03-08,48
2020-03-15,49
2020-03-22,50
2020-03-29,56
2020-04-05,54
2020-04-12,46
2020-04-19,50
